"fips","NOx_AP2_ACS","NOx_EASIUR_ACS","NOx_InMAP_ACS","SO2_AP2_ACS","SO2_EASIUR_ACS","SO2_InMAP_ACS","NOx_AP2_H6C","NOx_EASIUR_H6C","NOx_InMAP_H6C","SO2_AP2_H6C","SO2_EASIUR_H6C","SO2_InMAP_H6C"
1001,2244.57412504298,2650.73973221711,5384.32193022287,14330.2826641138,16974.2060177273,16009.6352776719,5765.47601890786,6809.04795414692,13832.5123098695,36817.6035897348,43610.7051276781,41132.4082554293
1003,2052.43448727545,2364.99720951965,6129.35418028977,14368.4059695558,16293.9637088852,17362.2322190623,5271.80661391752,6074.88220469773,15746.7431883213,36915.5547971614,41862.9407425819,44607.6710122785
1005,2155.4139655143,2491.02592818309,5146.41433906831,14897.1294263508,17274.0179102091,14749.3769470971,5536.39448521295,6398.69109326008,13221.2501032131,38274.0178262019,44381.0196775034,37894.3935104358
1007,2513.89144460004,2847.9247629467,7485.24367426745,14764.8009739198,17999.8355271964,21176.7484018821,6457.44006362096,7315.68061945391,19230.4655867911,37934.02286663,46245.8818957988,54408.4073734922
1009,3228.59125458219,3800.27423921258,10253.7766578969,18672.3233978681,19189.3579438574,29574.8659982838,8293.7370091137,9762.57707847541,26343.7299116575,47973.7225997528,49302.1530040342,75985.9109278119
1011,2204.31880216535,2543.01466410929,5597.86786574857,14960.4439346412,17398.6065732055,15818.8049050411,5662.04696322942,6532.26711447617,14381.1814764921,38436.6934510658,44701.1285933139,40642.1027796549
1013,2107.95633690099,2355.51425374399,5354.0474716764,13297.2088928846,16735.0633506263,15871.6737778226,5414.46035672183,6050.51739798887,13754.7273503958,34163.300084849,42996.2696080357,40777.9401595513
1015,3316.56227463928,3625.91083559971,9317.90297204979,20199.549558361,18895.878231901,28068.9833447286,8519.76325561118,9314.5806176004,23939.1651325916,51897.6647841781,48548.1078915232,72116.8071749188
1017,2571.4053136808,2854.67670497345,7888.59931853733,17584.2354805324,17188.7974551052,23808.7011536956,6605.21195419849,7333.0285609906,20266.8178107249,45178.0698080151,44162.0605295995,61170.752530625
1019,3568.07286313044,4046.29157115704,10735.1864651268,20944.8279633506,19589.8213429896,33473.8370364271,9165.97599969591,10394.6758546024,27580.6287413474,53812.5281149216,50331.0741067647,86003.6393613567
1021,2379.08013642126,2824.74264567396,8038.44738743841,15109.6598542913,17979.8897609204,23937.4747658317,6111.06583773055,7256.11819821994,20651.8263798722,38820.0778225815,46194.6347159666,61501.6139458973
1023,2348.43238578493,2275.46550214551,6361.3852868719,13103.0249472596,16190.0711191123,16859.1344529325,6032.32176911085,5844.84604338967,16342.9067892137,33664.3781861235,41596.0067899004,43315.0487416057
1025,2110.46786693388,2268.51092496833,5325.42233263093,12690.3024675979,17056.1069958446,15918.2925051954,5420.9132966324,5826.97746605235,13681.1800307249,32603.9595066253,43821.1354563966,40897.7188771077
1027,2740.0168571376,3044.65524138776,6676.95242573565,17507.8775459531,17347.9346563229,18707.9297558815,7038.43001008727,7821.14539165759,17153.7017063243,44981.8813662752,44570.9359097646,48065.206948212
1029,3211.16403611358,3670.92826397091,8708.00309665667,19745.0284045926,18215.8384344724,26190.2015843199,8248.96080014404,9430.24507568111,22372.1334045871,50729.851676256,46800.8638243071,67289.6039775762
1031,2172.81588314307,2461.37681398148,5140.63295575027,13995.0026816984,17104.5944839493,15130.1779348293,5581.105688072,6322.51284739438,13206.3958435933,35956.1599472501,43945.7156298591,38872.7954644405
1033,3579.68594860821,3930.22380620068,8291.97653771879,21487.2611018832,20485.2198737549,21976.1557593814,9195.81380445355,10096.4599053567,21303.2254676442,55206.2157884168,52631.6450095108,56462.3456399891
1035,2056.0390135886,2241.73114513151,4354.28680990256,13285.6278551373,16691.4289842517,14809.7776055058,5281.06781780527,5758.17147614092,11186.0160903705,34133.5446211648,42884.1586873763,38049.5825044618
1037,2405.75059503775,2798.42513433016,8254.75724490113,16072.2859671233,17586.0885342039,24344.4573849721,6179.59094576658,7188.49992685814,21207.5969635368,41293.3783131597,45182.8309073596,62547.2850513853
1039,2070.32049430614,2355.32175280728,3140.40257180862,13259.4296788641,16740.5497726166,9492.73395558108,5317.76160035908,6050.02280028902,8067.15151609646,34066.2329605263,43010.3660157889,24388.3629588007
