"fips","NOx_AP2","NOx_EASIUR","NOx_InMAP","SO2_AP2","SO2_EASIUR","SO2_InMAP"
1001,2244.57412504298,2650.73973221711,5384.32193022287,14330.2826641138,16974.2060177273,16009.6352776719
1003,2052.43448727545,2364.99720951965,6129.35418028977,14368.4059695558,16293.9637088852,17362.2322190623
1005,2155.4139655143,2491.02592818309,5146.41433906831,14897.1294263508,17274.0179102091,14749.3769470971
1007,2513.89144460004,2847.9247629467,7485.24367426745,14764.8009739198,17999.8355271964,21176.7484018821
1009,3228.59125458219,3800.27423921258,10253.7766578969,18672.3233978681,19189.3579438574,29574.8659982838
1011,2204.31880216535,2543.01466410929,5597.86786574857,14960.4439346412,17398.6065732055,15818.8049050411
1013,2107.95633690099,2355.51425374399,5354.0474716764,13297.2088928846,16735.0633506263,15871.6737778226
1015,3316.56227463928,3625.91083559971,9317.90297204979,20199.549558361,18895.878231901,28068.9833447286
1017,2571.4053136808,2854.67670497345,7888.59931853733,17584.2354805324,17188.7974551052,23808.7011536956
1019,3568.07286313044,4046.29157115704,10735.1864651268,20944.8279633506,19589.8213429896,33473.8370364271
1021,2379.08013642126,2824.74264567396,8038.44738743841,15109.6598542913,17979.8897609204,23937.4747658317
1023,2348.43238578493,2275.46550214551,6361.3852868719,13103.0249472596,16190.0711191123,16859.1344529325
1025,2110.46786693388,2268.51092496833,5325.42233263093,12690.3024675979,17056.1069958446,15918.2925051954
1027,2740.0168571376,3044.65524138776,6676.95242573565,17507.8775459531,17347.9346563229,18707.9297558815
1029,3211.16403611358,3670.92826397091,8708.00309665667,19745.0284045926,18215.8384344724,26190.2015843199
1031,2172.81588314307,2461.37681398148,5140.63295575027,13995.0026816984,17104.5944839493,15130.1779348293
1033,3579.68594860821,3930.22380620068,8291.97653771879,21487.2611018832,20485.2198737549,21976.1557593814
1035,2056.0390135886,2241.73114513151,4354.28680990256,13285.6278551373,16691.4289842517,14809.7776055058
1037,2405.75059503775,2798.42513433016,8254.75724490113,16072.2859671233,17586.0885342039,24344.4573849721
1039,2070.32049430614,2355.32175280728,3140.40257180862,13259.4296788641,16740.5497726166,9492.73395558108
1041,2150.75523754194,2407.41233769826,4991.60485226247,13828.978570794,16784.5591582574,14406.3039701909
1043,3246.34738396845,3841.04769153137,10783.7311427093,18369.489212439,19303.0437810132,29430.4332284451
1045,2669.33980445937,2472.74891554927,4867.06881094684,14859.1629861156,16974.8898078706,14255.664095141
1047,2278.53459897318,2446.26772941535,6504.58902456536,14164.5199952208,16800.4725698674,16831.8316897404
1049,3107.60432528151,4144.77737296022,11027.5248401341,22862.9689663023,19605.0198820344,33150.3113542761
1051,2268.22872355283,2677.04008212447,6039.68397782317,15534.5334839575,17270.8084769464,17901.9274693833
1053,1902.78001973511,2289.15775664275,3536.58366665181,12443.2735012003,16867.146134387,11754.2700130513
1055,3426.50285727417,3918.93709478812,9914.57402630963,20172.4439252995,19111.0147444739,29532.8115979259
1057,2957.42191355024,3158.12753144298,8813.5559611701,16462.986595805,19295.8633674985,19827.8761075111
1059,3501.15888869489,3713.25782602239,9809.87384318354,17275.5989691711,20050.4890262485,23429.5513589389
1061,2340.16575805413,2511.63209624331,3781.0764055987,13483.0334410329,17105.3394263499,11619.5958345818
1063,2546.1550755396,2614.11881734264,7344.29259594358,14119.9314818432,18122.0028861859,16803.3770939761
1065,2464.08927149668,2579.86703786083,5974.6135284176,14171.0037571056,17991.3595985894,15446.0467034925
1067,2470.32508515119,2449.56988812384,3531.66455235334,14360.2388584617,17060.5608336729,10580.2784901427
1069,2409.24042421038,2530.68975152013,4352.39472743814,14151.3871726311,17301.353327526,12569.9838167817
1071,3266.6639583446,4117.93969737115,11059.6447716108,23161.5188761883,19576.6490702412,32820.3801161778
1073,2780.10350774976,3455.10307814782,9756.62714366135,19344.4992430019,18740.8746816549,30557.4440345903
1075,3095.33173124574,3033.80773501213,9070.30978407215,16073.9811233914,18873.0846669284,19912.0430642611
1077,3497.14448877665,4092.22771049226,10734.9772556021,21318.2346246532,20987.4686788052,25877.8606652984
1079,3434.57382517702,3966.61699450617,11248.1789351758,17504.7402418153,20408.135552001,27813.3590423876
1081,2317.68849195728,2738.19657303978,7155.88148462855,16612.4960051969,17278.7479415219,21058.3418130169
1083,3474.77348620705,4187.53608008361,10874.0962268328,22367.6797259693,21043.7533098788,28537.9226834075
1085,2175.07946494571,2483.52846790909,5924.96444516831,15006.6061602557,16641.1214421028,16387.9197123694
1087,2253.12412217977,2612.53185334632,5199.41470989524,15488.1486109527,17179.0931308055,14975.5084302749
1089,3741.06651204419,4038.44275789822,10949.8667658224,24128.8543186723,20544.2228450497,30124.8543610144
1091,2303.96194299314,2384.6499737842,6749.93544689892,13332.9657264421,16681.6877018677,16586.763506032
1093,3345.51318228496,3407.3268721294,8710.69454499586,16920.3920453128,19557.700745214,20970.9963406329
1095,3348.41603197375,3983.95916819096,11314.5925635336,19253.4499541,19746.8451548324,31595.9315432791
1097,2100.96318477451,2469.62874060433,6035.68306440701,13031.118273766,16869.1450533887,18035.1073305682
1099,2036.54555986796,2241.72989889011,5012.98869467719,13003.9148107907,16707.1895662258,16994.2413467201
1101,2155.18794467856,2622.77230302418,5925.71732835431,15159.1972119379,17388.7108311502,17612.2677965189
1103,4128.45610415457,3945.18093237856,11096.6468826943,21199.0676690971,19938.6081167074,29212.6892994245
1105,2353.65616584661,2533.31552261377,6643.2588069292,14245.5720789483,17565.9717849633,16674.9632497737
1107,2854.12364472966,2797.18273597489,8084.74291715758,15099.6744561753,18510.4285265726,17933.324413738
1109,2160.41509818556,2457.50691545653,5390.69844451446,14235.7013779728,16873.8943392414,15300.7268480786
1111,2697.86565799606,3179.12692245321,6311.27059199962,18027.270053022,17225.780541201,17573.0471943688
1113,2265.99550275797,2665.56166219084,5973.02397219521,17056.3587585102,17549.9465948263,17904.8447733926
1115,3045.23606840045,3520.40216439738,9754.75187445656,18874.4602408101,18868.5386485514,30221.4934792907
1117,2636.07426026291,3128.52581517862,8587.44991674394,19230.0045091993,18228.3374082707,26690.8269815426
1119,2567.93235173474,2542.35017596265,7220.32859601911,13824.5340565988,17313.2347178554,16848.036899044
1121,2909.99464594472,3125.97605790037,8282.02758140322,17865.6482882466,17943.9637547521,24552.3038831862
1123,2374.27129013265,2723.87734920141,7990.22027896543,16263.9752499421,17172.6347943483,23610.0095885208
1125,2767.05502129281,2979.1447318734,7945.90102978748,20091.1270261153,18790.6371988507,20350.8758389516
1127,2995.67172319141,3407.99493249065,9050.20798381013,20365.6411381717,19336.5390454458,23882.308733696
1129,2126.19824241183,2272.83166222578,3557.22513141678,12406.5080074953,17059.6431036883,10491.6806611815
1131,2170.29591949692,2311.90627642521,6141.73129127383,13398.2604471291,16741.7303777281,16582.6778489548
1133,3148.83794729888,3621.99308470426,9416.01295303609,16871.6288933648,19760.3301774315,24677.278873681
4001,4754.41237510372,782.731118194427,7278.31906668167,11478.3416384993,8437.02457808464,9713.09927013888
4003,3831.77170952462,665.509690696252,6097.08309102284,8543.60108448718,6872.89091880418,9754.11094967646
4005,4146.26789538845,893.485948520391,6543.18432324435,10607.7869684981,8946.28820143644,9454.73599735045
4007,5490.05284684426,1194.57304406041,6553.22239977214,12503.0020371268,8813.24688846803,10323.9695744906
4009,3909.96142490697,739.199025114396,6609.3088014535,8512.09141857429,7138.80359359304,10157.733039408
4011,4046.1946402837,558.837658553548,6903.53208120499,8718.32193739939,6989.66473885663,10055.3512215301
4012,1530.72931477453,1982.77148655658,4758.9641758984,12480.2818829676,11409.0981504193,7505.01147207433
4013,6393.66053398746,2697.62708133799,6138.88984460625,13182.1592273286,10936.792515997,10513.6555214769
4015,2192.40716677769,1313.42993818825,5271.41762964291,6424.02828866311,9015.28037196274,8136.94483062579
4017,4508.49495893564,805.854049173818,7040.97885800385,10961.7170433067,8687.0916991247,9606.98454157968
4019,4218.35167476071,1314.50146223967,6224.99085801603,9430.71599751251,9422.11359865266,11410.509039437
4021,5208.77329021989,2029.08757056793,6310.34306238068,10550.6661057959,9303.76907507418,10785.1129252051
4023,3504.23041064915,829.41329946836,5611.97572673806,8387.33972430828,7240.42862299655,9797.52103162464
4025,4053.30923644132,1416.66771842819,6246.8934925948,10336.2549820954,9331.03095151957,9352.35690792408
